T Like JENNIE
N 1 10100
N 2 11023
N 1 11485
N 4 11946
N 0 12869
N 2 13792
N 3 14254
N 1 14715
N 3 15638
N 2 16100
N 1 16562
N 2 17485
N 4 17946
N 3 18408
N 1 18869
N 4 19331
N 3 19792
N 0 20254
N 2 21177
N 0 22100
N 3 23023
N 1 23485
N 0 23946
N 2 24869
N 1 25331
N 4 25792
N 4 26715
N 3 27638
N 1 28562
N 1 29485
N 2 30408
N 1 31331
N 4 31792
N 1 32254
N 0 33177
N 4 34100
N 3 35023
N 1 35946
N 4 36408
N 4 36869
N 3 37331
N 2 37792
N 3 38254
N 0 38715
N 4 39177
N 4 39638
N 0 40100
N 0 40562
N 1 41485
N 3 41946
N 1 42408
N 4 42869
N 3 43331
N 1 43792
N 1 44254
N 4 44715
N 0 45177
N 4 45638
N 3 46100
N 4 47023
N 2 47946
N 2 48408
N 4 48869
N 4 49331
N 1 49792
N 0 50715
N 2 51177
N 1 51638
N 0 52100
N 1 52562
N 0 53485
N 0 54408
N 2 54869
N 0 55331
N 2 55792
N 0 56254
N 1 57177
N 0 58100
N 3 59023
N 1 59946
N 0 60408
N 4 60869
N 0 61331
N 0 61792
N 3 62715
N 2 63638
N 2 64562
N 3 65023
N 3 65485
N 0 66408
N 4 67331
N 3 67792
N 1 68254
N 0 68715
N 4 69177
